profile	1.1.0	1.1.0-d53085b-sm_90	cpu_arch=x86_64,gpu_arch=sm_90,cuda_version=12.8.93	# Last updated Sat Mar 14 22:34:26 2026

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
  0.00143455	   0.0887554	     99.1784	           6	 0.000239091	     48x48x48x48	N4quda4blas6caxpy_IfEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,n_rhs=1	# 2131.44 Gflop/s, 3463.59 GB/s, tuning took 0.054571 seconds at Sat Mar 14 22:33:00 2026
  0.00142866	   0.0883912	     99.2668	           1	  0.00142866	     48x48x48x48	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18EL21QudaReconstructType_s12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,large_kernel_arg,vol=5308416,stride=2654208,precision=8,geometry=4,Nc=3,order=1,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2	# 0.00 Gflop/s, 3596.76 GB/s, tuning took 0.478296 seconds at Sat Mar 14 22:31:35 2026
  0.00127849	   0.0791002	     99.3459	           1	  0.00127849	     48x48x48x48	N4quda12CloverInvertIdEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2,trlog,twist=true	# 0.00 Gflop/s, 1860.15 GB/s, tuning took 6.126857 seconds at Sat Mar 14 22:31:47 2026
  0.00119789	   0.0741134	       99.42	           2	 0.000598944	     48x48x48x48	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELb0ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=1,TwistFlavor=1,to_degrand_rossi,from_ukqcd	# 0.00 Gflop/s, 3403.38 GB/s, tuning took 0.109616 seconds at Sat Mar 14 22:33:03 2026
  0.00119179	   0.0737358	     99.4937	           2	 0.000595893	     48x48x48x48	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELb0ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=1,TwistFlavor=1,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,to_ukqcd,from_degrand_rossi	# 0.00 Gflop/s, 3420.80 GB/s, tuning took 0.113263 seconds at Sat Mar 14 22:32:18 2026
  0.00118512	   0.0733234	      99.567	           1	  0.00118512	     48x48x48x48	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18EL21QudaReconstructType_s12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES6_EE	GPU-offline,large_kernel_arg,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2vol=5308416,stride=2654208,precision=8,geometry=4,Nc=3,order=0,N=2,r=0000	# 0.00 Gflop/s, 3475.88 GB/s, tuning took 0.264067 seconds at Sat Mar 14 22:31:36 2026
  0.00116535	   0.0721005	     99.6391	           2	 0.000582677	     48x48x48x48	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELb0ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=1,TwistFlavor=1	# 0.00 Gflop/s, 3498.39 GB/s, tuning took 0.107876 seconds at Sat Mar 14 22:32:15 2026
  0.00112291	   0.0694746	     99.7086	           6	 0.000187152	     48x48x48x48	N4quda4blas4CdotIdfEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,n_rhs=1	# 2722.96 Gflop/s, 2949.88 GB/s, tuning took 0.760126 seconds at Sat Mar 14 22:33:00 2026
  0.00111159	   0.0687744	     99.7774	           2	 0.000555797	     48x48x48x48	N4quda4blas23HeavyQuarkResidualNorm_IddEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,n_rhs=1	# 916.90 Gflop/s, 3667.58 GB/s, tuning took 1.969287 seconds at Sat Mar 14 22:33:03 2026
 0.000815573	   0.0504595	     99.8278	           1	 0.000815573	     48x48x48x48	N4quda10CopyCloverINS_6clover11FloatNOrderIsLi72ELb0ELb1ELb0EEENS2_IdLi72ELb0ELb1ELb0EEEsdEE	GPU-offline,large_kernel_arg,vol=5308416precision=8Nc=3,order=0,N=2	# 0.00 Gflop/s, 3644.94 GB/s, tuning took 0.627018 seconds at Sat Mar 14 22:32:07 2026
 0.000697653	   0.0431638	      99.871	           1	 0.000697653	     48x48x48x48	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18EL21QudaReconstructType_s12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELS4_12ELS5_0ELb1ELS6_n2147483648ELb0EEEEEEE	GPU-offline,large_kernel_arg,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2,vol=5308416,stride=2709504,precision=2,geometry=4,Nc=3,order=0,N=8	# 0.00 Gflop/s, 3728.39 GB/s, tuning took 0.208608 seconds at Sat Mar 14 22:31:35 2026
 0.000652299	   0.0403578	     99.9114	           1	 0.000652299	       148635648	N4quda15TransformReduceINS_7maximumIdEEKNS_7complexIdEEmNS_8abs_max_IddEENS_8identityEEE	,batch_size=1	# 0.00 Gflop/s, 3645.83 GB/s, tuning took 6.200904 seconds at Sat Mar 14 22:32:07 2026
  0.00064106	   0.0396624	      99.951	           4	 0.000160265	     48x48x48x48	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIsLi4ELi3ELb0ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPsPKsEEEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1	# 0.00 Gflop/s, 3444.76 GB/s, tuning took 0.046082 seconds at Sat Mar 14 22:32:29 2026
 0.000539152	   0.0333574	     99.9844	           2	 0.000269576	bytes=1019215872	cudaMemsetAsync	copy,color_spinor_field.cpp,446	# 0.00 Gflop/s, 3780.81 GB/s, tuning took 0.002233 seconds at Sat Mar 14 22:32:17 2026
     7.6e-05	  0.00470212	     99.9891	           1	     7.6e-05	 bytes=276037632	cudaMemsetAsync	zero,color_spinor_field.cpp,398	# 0.00 Gflop/s, 3632.07 GB/s, tuning took 0.001403 seconds at Sat Mar 14 22:32:29 2026
  4.3204e-05	  0.00267303	     99.9918	           1	  4.3204e-05	     48x48x48x48	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18EL21QudaReconstructType_s12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,large_kernel_arg,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2,extract	# 0.00 Gflop/s, 1965.90 GB/s, tuning took 0.080034 seconds at Sat Mar 14 22:31:35 2026
 3.15694e-05	   0.0019532	     99.9937	           2	 1.57847e-05	  bytes=42467328	cudaMemset	allocateGhostBuffer,lattice_field.cpp,283	# 0.00 Gflop/s, 2690.41 GB/s, tuning took 0.001022 seconds at Sat Mar 14 22:31:35 2026
 3.14374e-05	  0.00194503	     99.9956	           2	 1.57187e-05	  bytes=42467328	cudaMemset	allocateGhostBuffer,lattice_field.cpp,278	# 0.00 Gflop/s, 2701.71 GB/s, tuning took 0.002024 seconds at Sat Mar 14 22:31:35 2026
 2.96405e-05	  0.00183386	     99.9975	           1	 2.96405e-05	     48x48x48x48	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18EL21QudaReconstructType_s12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES7_EEEE	GPU-offline,large_kernel_arg,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2,ghost	# 0.00 Gflop/s, 2925.19 GB/s, tuning took 0.019055 seconds at Sat Mar 14 22:31:35 2026
 2.28544e-05	    0.001414	     99.9989	           4	 5.71359e-06	  bytes=10616832	cudaMemcpyDeviceToDevice	exchangeGhost,gauge_field.cpp,576	# 0.00 Gflop/s, 3716.34 GB/s, tuning took 0.000820 seconds at Sat Mar 14 22:31:35 2026
  1.7816e-05	  0.00110228	         100	           1	  1.7816e-05	     48x48x48x48	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18EL21QudaReconstructType_s12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELS4_12ELS5_0ELb1ELS6_n2147483648ELb0EEEEEEE	GPU-offline,large_kernel_arg,vol=5308416,stride=2709504,precision=8,geometry=4,Nc=3,order=0,N=2,vol=5308416,stride=2709504,precision=2,geometry=4,Nc=3,order=0,N=8,ghost	# 0.00 Gflop/s, 3041.65 GB/s, tuning took 0.016735 seconds at Sat Mar 14 22:31:35 2026

# Total time spent in kernels = 1.61629 seconds
