epoch,f1,lr,signal_eff,signal_pur,step,total_eff,total_pur,train/events_per_second_epoch,train/events_per_second_step,train_loss,val_loss
17,0.23892347514629364,0.007000000216066837,0.9942237734794617,0.13584354519844055,1439,0.9942170977592468,0.13605810701847076,,,,0.00833823811262846
17,,,,,1439,,,34.50421905517578,,,
18,,,,,1449,,,,41.608497619628906,0.008872317150235176,
18,,,,,1499,,,,32.965511322021484,0.008026224561035633,
18,0.24699346721172333,0.007000000216066837,0.9935389757156372,0.1410905420780182,1519,0.9935418963432312,0.1413147896528244,,,,0.008427757769823074
18,,,,,1519,,,34.392547607421875,,,
19,,,,,1549,,,,35.05742263793945,0.008309873752295971,
19,,,,,1599,,,,42.40557861328125,0.007877123542129993,
19,0.2452174872159958,0.004900000523775816,0.9943825006484985,0.13991786539554596,1599,0.9943841099739075,0.1401400864124298,,,,0.00807231105864048
19,,,,,1599,,,34.87223434448242,,,
20,,,,,1649,,,,39.37424087524414,0.007727629505097866,
20,0.2458527386188507,0.004900000523775816,0.9951292872428894,0.1403276026248932,1679,0.9951297044754028,0.14055031538009644,,,,0.007973210886120796
20,,,,,1679,,,34.33988571166992,,,
21,,,,,1699,,,,33.591854095458984,0.007995838299393654,
21,,,,,1749,,,,40.25882339477539,0.007780411280691624,
21,0.26538342237472534,0.004900000523775816,0.9958852529525757,0.15318019688129425,1759,0.9958845973014832,0.15342319011688232,,,,0.008294373750686646
21,,,,,1759,,,34.40854263305664,,,
22,,,,,1799,,,,33.52299118041992,0.007946536876261234,
